X,Y,OBJECTID_1,NOMBRE_ENT,CATEGORIA,DEPARTAMEN,COD_DEPART,COD_MUNICI,AREA_KM,Shape_Leng,CODIGO,LISTADO_AR,AREA_DIGIT,diss,Shape_Le_1,Shape_Area
1788805.69982088,649972.430050271,82,LA GUADALUPE,CD,GUAINÍA,94,885,1213.00829309,1.43270189,94885,1167,1213,a,160031.190999,1213008293.03
1467212.5177336,674114.026031486,92,MITÚ,M,VAUPÉS,97,001,16276.0126312,6.35423646,97001,16455,16276,a,705850.261835,16276012613.5
1429429.52162983,699301.190399905,108,PAPUNAUA,CD,VAUPÉS,97,777,5550.87502225,5.428286,97777,5435,5551,a,603220.085167,5550875039.45
1572100.81210958,720769.30780097,137,PANÁ-PANÁ (Campo Alegre),CD,GUAINÍA,94,887,10199.8656119,7.73442585,94887,10285,10200,a,861674.382198,10199865610.2
1409257.73040841,727709.901749555,138,EL RETORNO,M,GUAVIARE,95,025,12442.227446,12.00289678,95025,10434,12442,a,1333312.10908,12442227443.9
1765645.69554789,720909.70084933,142,SAN FELIPE,CD,GUAINÍA,94,883,3088.62914247,3.57882308,94883,3063,3089,a,399540.618777,3088629142.72
1464175.27193852,758389.399700304,169,MORICHAL (Morichal Nuevo),CD,GUAINÍA,94,888,8554.99556246,6.91654388,94888,8501,8555,a,769075.808286,8554995562.58
1371283.91209197,755755.494499595,171,SAN JOSÉ DEL GUAVIARE,M,GUAVIARE,95,001,16767.8198827,14.1060903,95001,13912,16768,a,1565978.94101,16767819882.3
1647285.59549662,769793.455099491,186,PUERTO COLOMBIA,CD,GUAINÍA,94,884,15685.6050409,8.83180176,94884,15922,15686,a,984688.317025,15685605041.1
1441208.78307278,810453.054549935,200,MAPIRIPANA,CD,GUAINÍA,94,663,4927.97124057,5.01078938,94663,4501,4928,a,556693.681968,4927971242.58
1511036.0455697,848951.549749506,215,BARRANCO MINA,CD,GUAINÍA,94,343,9467.80405592,6.82591414,94343,10290,9468,a,759179.969496,9467804055.37
1726363.24804308,875113.556450928,219,CACAHUAL,CD,GUAINÍA,94,886,2335.32287265,2.36417397,94886,2344,2335,a,263718.626002,2335322872.38
1633165.09897088,847138.86245048,243,INÍRIDA,M,GUAINÍA,94,001,15970.3971531,9.25896762,94001,16165,15970,a,1031321.06067,15970397153.6
1392410.14709063,843771.65259943,550,CUMARIBO,M,VICHADA,99,773,65599.9164734,18.87301301,99773,65674,65600,a,2097411.54712,65599916474
